run,ml_accuracy,ml_f1,rule_accuracy,rule_f1,hybrid_accuracy,hybrid_f1
132,0.577,0.574503058285571,0.576,0.5677887567053758,0.562,0.5529739293104438
125,0.577,0.5694209604481255,0.556,0.5464993127981242,0.557,0.5529027097863799
71,0.603,0.5982987489561463,0.568,0.5600978538112188,0.575,0.5627468610863097
90,0.602,0.6014314324912159,0.525,0.5174828253859043,0.539,0.5315096939066795
81,0.598,0.594516460495842,0.571,0.5617564603202537,0.574,0.5639419071493251
119,0.579,0.5789176781100723,0.565,0.5584421584432491,0.564,0.5504126600273024
127,0.594,0.5916584631250805,0.562,0.5553566955860313,0.583,0.5752813521483255
104,0.589,0.5847534180941293,0.565,0.560576402906254,0.573,0.5670771636345621
86,0.587,0.5798165155719355,0.557,0.5398297685344898,0.566,0.5533191916425401
137,0.604,0.6001247750175882,0.558,0.5489870462797576,0.579,0.5677348759460622
48,0.588,0.5885890903844692,0.544,0.5336418860810322,0.568,0.5629321352218574
113,0.604,0.6002850432697516,0.573,0.5636953270738333,0.554,0.5457606837606838
68,0.583,0.5807991285631532,0.548,0.5369907181701065,0.559,0.5473961719509056
146,0.591,0.5850638963411906,0.546,0.5323996191346637,0.532,0.5276981262720141
145,0.599,0.5931347126083663,0.568,0.5526571390265758,0.572,0.5599438379123193
112,0.599,0.5942391373295746,0.565,0.5544676701809682,0.574,0.562472329691305
105,0.601,0.5995725868250162,0.558,0.54613663771877,0.571,0.5646882437037606
144,0.588,0.5863752178432398,0.542,0.5309584305863058,0.574,0.5601280370440662
98,0.609,0.6048099885913917,0.57,0.5574847031233344,0.578,0.5706092846563733
70,0.566,0.5623487204217138,0.548,0.5364812447062758,0.556,0.5478227778595861
140,0.572,0.5663656906734217,0.541,0.5312410541124584,0.539,0.5308943597077528
116,0.574,0.5701754417301538,0.561,0.5485085825247759,0.578,0.5735420683369331
128,0.602,0.594178064755457,0.579,0.5659389353307599,0.568,0.5650819380732477
27,0.574,0.5723452778440258,0.562,0.5550293833870545,0.553,0.5450992706559553
148,0.569,0.5678297016121349,0.567,0.5581449417547786,0.55,0.5365084421790379
108,0.552,0.5463383715916825,0.552,0.538935240237051,0.524,0.516514769051908
99,0.585,0.5799291064082639,0.563,0.5537510575134481,0.546,0.5415540041509878
118,0.562,0.5563988764534212,0.552,0.5430049915371757,0.546,0.5369971412884316
151,0.609,0.6083528324938727,0.555,0.550995835465676,0.577,0.5619121588058659
107,0.592,0.5914177614441548,0.555,0.5408331041576425,0.567,0.5542145278547856
101,0.609,0.605240848538585,0.561,0.5560257639452271,0.575,0.5666618607174161
143,0.583,0.5812828537923226,0.565,0.552091664649346,0.568,0.5547064301294912
138,0.599,0.5936614999895263,0.592,0.5822088330448764,0.58,0.567161721574157
135,0.567,0.5635450253636929,0.539,0.5273974095648261,0.554,0.5433016040554709
88,0.566,0.5631847451439644,0.579,0.568432096921408,0.587,0.5780024759547797
114,0.578,0.5747198621748368,0.563,0.5482728175698046,0.554,0.5466764790883004
121,0.592,0.5904002237304432,0.577,0.5722578470726619,0.579,0.5729714326635865
103,0.591,0.5866572609888054,0.561,0.540440969245564,0.559,0.5456698070908734
129,0.61,0.6035689890710382,0.592,0.57864942013191,0.576,0.5674588166859112
134,0.605,0.6035550322773492,0.546,0.5346146424136452,0.577,0.5695426446496863
155,0.583,0.5698003315462489,0.557,0.5450033671694477,0.565,0.5537956377430061
152,0.613,0.6129660960891886,0.564,0.55476597183211,0.567,0.5573035364084872
126,0.591,0.5853715053129892,0.559,0.5453516082834852,0.573,0.5607551918063008
164,0.605,0.6027346582300878,0.568,0.5611924035038867,0.572,0.5670219976492233
106,0.598,0.5949902101411314,0.575,0.562601769744627,0.599,0.592505872037424
130,0.598,0.5890231185637234,0.559,0.5455382802423218,0.536,0.5266125365048882
156,0.587,0.5817133928902788,0.559,0.5536539576208047,0.562,0.5531058106010115
91,0.587,0.5862495170865646,0.554,0.5488141979930714,0.571,0.5558742647171849
181,0.586,0.5797415751566172,0.544,0.5325104051341886,0.55,0.5368418661881912
96,0.568,0.5654832852826034,0.541,0.5348626833793603,0.532,0.5192298845746904
97,0.599,0.594870626950127,0.551,0.5385117456999217,0.569,0.5606926553946421
157,0.629,0.6267021641435399,0.582,0.5758826372622443,0.565,0.5556270764119601
111,0.568,0.5633994737166984,0.546,0.5427258414443284,0.567,0.5570863197530889
203,0.596,0.59435824965373,0.537,0.5312507634192859,0.583,0.5730604645484821
115,0.59,0.5861100805224135,0.565,0.5510265693752845,0.563,0.5576518236087656
141,0.575,0.569501310529139,0.524,0.5088636404803119,0.55,0.5423688195340952
124,0.605,0.6022316955188064,0.574,0.5637324563989256,0.595,0.5866289992219519
123,0.592,0.5855559400165119,0.574,0.5655046362139527,0.564,0.5560206515236027
168,0.57,0.5670408128432949,0.554,0.542986838711044,0.554,0.5442131069407357
209,0.592,0.5934920267191783,0.555,0.5487371457731822,0.57,0.5566119785083492
197,0.612,0.608917056804946,0.566,0.5580400039729843,0.581,0.5708881781375996
177,0.585,0.5819255897905227,0.556,0.5457536094512047,0.553,0.5454845321890949
153,0.579,0.5768555803084475,0.553,0.5404445311126002,0.576,0.5695714083005987
120,0.608,0.6032025583239232,0.542,0.5330646296843528,0.549,0.5400433592356332
167,0.581,0.5774549386612846,0.538,0.5350597619149565,0.539,0.5338766613478246
180,0.595,0.5930303887211251,0.547,0.5325959781916866,0.569,0.5614579458285806
