run,ml_accuracy,ml_f1,rule_accuracy,rule_f1,hybrid_accuracy,hybrid_f1
86,0.5955,0.5913516931921322,0.5465,0.5373567014469596,0.548,0.5392184616937027
87,0.6025,0.5996973000151459,0.554,0.5380970021017374,0.558,0.5455294768239102
88,0.6165,0.6139058623478673,0.556,0.5471015299052918,0.5715,0.5604211257572079
89,0.6055,0.6034900752004061,0.5605,0.5478657084210824,0.571,0.56056558371073
90,0.623,0.6195397031446174,0.56,0.5489168700321027,0.5715,0.5627399830585383
91,0.605,0.6012491569086014,0.5395,0.5325060963916707,0.5525,0.5440082989987917
92,0.6185,0.6116351563839164,0.5575,0.539381246483686,0.574,0.5663822778955064
93,0.611,0.6080659100269767,0.5495,0.5385832240926389,0.571,0.55907776453548
94,0.603,0.6001579505313845,0.563,0.5546006151612507,0.5655,0.5568188736681887
95,0.6165,0.6140046296296297,0.5525,0.5411369460188782,0.5705,0.562634342236937
96,0.5945,0.595083477424884,0.5605,0.5550794377116727,0.57,0.5613764312890727
97,0.606,0.6043388406463226,0.5675,0.556443203689818,0.6,0.5917397767727843
98,0.603,0.6001445361642798,0.544,0.5363824986836003,0.5665,0.5595179877740333
99,0.608,0.6043502155787844,0.5545,0.5391430110251195,0.557,0.548196656015045
100,0.622,0.6199882485565269,0.5465,0.5329838574374333,0.5595,0.5521441451744101
101,0.5915,0.5863064531727601,0.5225,0.5107955885820462,0.5385,0.5276810240567301
102,0.6245,0.623290362111001,0.535,0.526535836078739,0.56,0.5499478789751828
103,0.605,0.6037025615085508,0.556,0.5502058255636361,0.5695,0.5600034880765596
104,0.584,0.5813379870132648,0.545,0.5365739909670403,0.558,0.5470920723074912
105,0.5985,0.5951237117568935,0.572,0.5622768521623348,0.568,0.562504769795268
106,0.6015,0.5965600058660904,0.561,0.5484835661196131,0.5535,0.5425250871026699
107,0.6,0.5946684968241918,0.5595,0.5510514357511456,0.555,0.5488212137783178
108,0.615,0.6108787296420819,0.567,0.5553429800040668,0.575,0.5609656278697245
109,0.585,0.582776647581765,0.554,0.5486285273145969,0.5485,0.5401118078700256
110,0.592,0.5904793271316471,0.5425,0.5329985449546245,0.5445,0.5355177146281277
111,0.6145,0.6133198544051992,0.573,0.5623677688357799,0.5845,0.5700100160674092
112,0.59,0.5874924480736079,0.539,0.5299292222675037,0.564,0.5553638216602509
113,0.612,0.60691111419412,0.561,0.5499315522124132,0.555,0.5444942327757517
114,0.6035,0.6000104507253793,0.5575,0.5470673435235174,0.556,0.5487844061272608
115,0.6025,0.601353799516242,0.538,0.5298850783733244,0.5505,0.5412881642763271
116,0.608,0.6043477620417002,0.5395,0.52943112392652,0.5705,0.560542613065739
117,0.5955,0.5947834330896553,0.547,0.5377903684219758,0.57,0.5559178987701034
